Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000236;155680137;A01;1;30;1;0;2;14;1;
202300000237;155680136;B01;2;7;0;2;6;15;1;
202300000237;155680138;A01;2;33;0;2;2;17;1;
202300000238;155680134;A01;1;7;0;2;7;16;1;
202300000238;155680135;B01;1;33;10;2;0;1;1;
202300000239;155680132;A01;2;7;0;1;3;19;1;
202300000240;155680131;A01;0;31;0;2;1;3;1;
202300000240;155680133;B01;1;7;0;0;8;15;1;
202300000241;155680129;A01;0;7;0;2;2;12;1;
202300000241;155680130;B01;0;7;0;2;3;1;1;
202300000242;155680127;A01;3;7;0;1;1;1;0;
202300000243;155680126;B01;3;7;0;2;8;1;2;
202300000243;155680128;Z01;3;7;0;2;3;13;1;
202300000244;155680124;A01;1;0;0;1;1;26;0;
202300000245;155680122;B01;1;7;0;2;3;1;1;
202300000245;155680125;A01;0;50;0;2;1;1;3;
202300000246;155680121;A01;1;7;0;2;4;2;1;
202300000246;155680123;B01;1;30;0;2;4;15;3;
202300000247;155680120;A01;1;7;0;1;4;20;2;
202300000248;155680117;A01;1;30;0;0;4;23;1;
202300000249;155680116;A01;1;7;0;2;1;5;1;
202300000249;155680119;B01;2;7;0;2;1;1;1;
202300000250;155680115;A01;0;7;0;2;1;1;1;
202300000250;155680118;B01;0;10;0;2;4;23;1;
202300000251;155680114;A01;3;7;0;1;5;20;0;
202300000252;155680113;A01;2;33;0;5;0;0;1;
202300000253;155680111;B01;0;10;0;1;4;26;1;
202300000254;155680109;B01;3;33;0;2;1;1;1;
202300000254;155680112;A01;2;10;0;2;2;15;1;
202300000255;155680108;A01;2;50;0;2;1;9;3;
202300000255;155680110;B01;1;7;0;2;2;1;1;
202300000256;155680106;A01;2;7;0;1;8;1;1;
202300000257;155680105;A01;1;32;0;2;2;9;0;
202300000257;155680107;B01;1;32;0;2;3;9;0;
202300000258;155680103;B01;3;50;0;2;1;1;3;
202300000258;155680104;A01;3;7;0;2;3;9;1;
202300000259;155680100;A01;1;7;0;1;2;1;1;
202300000260;155680099;A01;3;7;0;2;8;9;1;
202300000260;155680101;B01;3;7;0;2;1;1;1;
202300000261;155680094;B01;1;1;0;2;4;1;5;
202300000261;155680097;A01;1;7;0;2;1;1;1;
202300000262;155680095;A01;1;7;0;1;0;16;1;
202300000263;155680091;A01;2;10;0;0;3;26;1;
202300000264;155680088;A01;1;80;0;1;3;1;3;
202300000265;155680085;A01;3;7;0;1;3;1;1;
202300000266;155680084;A01;0;10;6;2;1;1;1;
202300000266;155680086;B01;0;7;0;2;6;1;1;
202300000267;155680080;A01;3;7;12;0;1;1;1;
202300000268;155680077;A01;2;7;0;2;7;15;1;
202300000268;155680079;B01;2;7;0;2;1;1;1;
202300000269;155680075;A01;2;7;0;1;1;1;1;
202300000270;155680073;A01;3;7;0;2;3;15;1;
202300000270;155680076;B01;3;32;0;2;1;3;1;
202300000271;155680071;Z01;0;7;0;1;2;1;0;
202300000272;155680069;A01;3;10;0;1;1;17;1;
202300000273;155680070;A01;1;7;3;0;7;1;1;
202300000274;155680067;A01;1;7;1;0;2;2;2;
202300000275;155680066;A01;1;33;0;2;1;17;1;
202300000275;155680068;B01;1;7;0;2;6;1;1;
202300000276;155680064;A01;1;7;0;1;2;1;1;
202300000277;155680063;A01;0;40;0;1;3;1;3;
202300000278;155680059;A01;1;7;1;0;1;15;1;
202300000279;155680061;B01;2;1;0;2;4;19;5;
202300000279;155680062;A01;1;7;0;2;3;16;1;
202300000280;155680058;A01;1;7;0;2;1;26;1;
202300000280;155680060;B01;1;7;0;2;1;2;1;
202300000281;155680055;B01;3;30;0;2;3;2;1;
202300000281;155680057;A01;3;7;0;2;3;9;1;
202300000282;155680054;A01;1;7;15;0;1;1;1;
202300000283;155680053;B01;3;7;0;2;8;1;1;
202300000283;155680056;A01;3;7;0;2;7;1;-1;
202300000284;155680050;A01;3;7;0;1;2;26;1;
202300000284;155680052;B01;3;1;0;2;0;26;5;
202300000285;155680049;A01;1;1;0;2;1;1;5;
202300000285;155680051;B01;1;7;0;2;4;1;3;
202300000286;155680047;B01;1;1;0;2;1;1;5;
202300000286;155680048;A01;1;7;0;2;8;22;1;
202300000287;155680041;C01;2;37;0;0;0;0;0;1.0
202300000287;155680044;A01;2;10;0;2;1;15;0;
202300000287;155680046;B01;1;2;0;2;1;1;0;
202300000288;155680040;C01;0;7;0;2;4;23;1;
202300000288;155680043;A01;0;7;0;2;1;1;1;
202300000288;155680045;B01;0;7;0;2;4;23;1;
202300000289;155680039;B01;3;60;0;2;8;19;5;
202300000289;155680042;A01;3;33;0;2;1;1;-1;
202300000290;155680034;B01;1;7;0;2;2;1;1;
202300000290;155680038;A01;1;50;0;2;4;0;3;
202300000291;155680035;A01;0;7;0;2;2;1;1;
202300000291;155680037;B01;0;1;0;2;4;0;5;
202300000292;155680033;B01;0;10;0;2;5;1;1;
202300000292;155680036;A01;0;7;0;2;1;1;1;
202300000293;155680029;A01;2;7;0;2;1;2;1;
202300000293;155680030;B01;2;7;0;2;4;2;1;
202300000293;155680032;C01;2;7;0;2;4;2;1;
202300000294;155680027;A01;3;7;0;0;3;15;1;
202300000294;155680031;B01;2;1;0;2;1;1;5;
202300000295;155680026;B01;3;7;0;2;4;1;-1;
202300000295;155680028;A01;3;7;0;2;1;1;1;
202300000296;155680025;A01;3;1;0;9;0;2;5;
202300000297;155680024;A01;3;7;0;1;1;1;1;
202300000298;155680021;A01;2;10;0;2;1;2;1;
202300000298;155680022;B01;2;7;0;2;4;1;1;
202300000298;155680023;C01;2;7;0;2;6;23;1;
202300000299;155680016;A01;1;7;0;2;1;10;1;
202300000299;155680018;B01;1;10;0;2;1;1;1;
